Tag ID,RSSI,Phase,Frequency,Antenna No.,Created At
5598 0000 4004 0004 000C 0001, -57, 5.203262832508095, 920.4, 4, 2022/12/19 19:31:43
2020 43CB 43A1 E38A 543D 29B5, -67.5, 6.074563920027139, 920.4, 1, 2022/12/19 19:31:43
2020 43CB 43A1 E38A 543D 29B5, -65.5, 5.393476450205914, 920.4, 4, 2022/12/19 19:31:44
7B49, -73, 1.0676506283684062, 920.4, 1, 2022/12/19 19:31:43
7B49, -71, 0.8160777791551611, 920.4, 4, 2022/12/19 19:31:43
2200 43CB 43A1 CD8A 543D 295D, -62.5, 2.5280003384355365, 920.4, 1, 2022/12/19 19:31:43
2020 0000 4000 0000 0000 0012, -67, 0.5276893910326605, 920.4, 1, 2022/12/19 19:31:43
2020 43CB 43A1 E78A 543D 29C5, -58.5, 5.632777453116074, 920.4, 1, 2022/12/19 19:31:43
2020 43CB 43A1 E78A 543D 29C5, -61, 1.6935147898257479, 920.4, 6, 2022/12/19 19:31:44
2020 43CB 43A1 E88A 543D 29C9, -60.5, 4.902602598082509, 920.4, 1, 2022/12/19 19:31:43
2020 43CB 43A1 E88A 543D 29C9, -60, 3.074097498922825, 920.4, 4, 2022/12/19 19:31:43
2020 43CB 43A2 198A 543D 2A8D, -53, 5.356660911296659, 920.4, 1, 2022/12/19 19:31:43
2020 43CB 43A2 198A 543D 2A8D, -54.5, 0.4111068511533518, 920.4, 4, 2022/12/19 19:31:44
E200 470F 45D0 6023 A129 010E, -60.5, 2.6875343403756435, 920.4, 1, 2022/12/19 19:31:43
E200 470F 45D0 6023 A129 010E, -55, 0.6381360077604268, 920.4, 4, 2022/12/19 19:31:43
2200 43CB 43A1 E48A 543D 29B9, -66, 0.9142525495798421, 920.4, 1, 2022/12/19 19:31:43
9990 1912 9990 9990 9990 0131, -60, 5.043728830567988, 920.4, 1, 2022/12/19 19:31:43
9990 1912 9990 9990 9990 0131, -60, 0.48473792897186263, 920.4, 6, 2022/12/19 19:31:44
5538 0000 4180 0400 0034 000B, -70, 4.454680208019902, 920.4, 6, 2022/12/19 19:31:46
9990 1912 9990 9990 9990 0137, -65.5, 3.098641191528995, 920.4, 6, 2022/12/19 19:31:46
9990 1912 9990 9990 9990 0125, -59, 0.7669903939428205, 920.4, 6, 2022/12/19 19:31:46
7B49, -71, 0.9019807032767571, 920.4, 4, 2022/12/19 19:31:45
E200 4710 6990 6026 B9C9 0110, -64, 5.786175531904639, 920.4, 4, 2022/12/19 19:31:45
2200 0000 42C4 0644 0010 0001, -58, 1.9634954084936207, 920.4, 4, 2022/12/19 19:31:46
9990 1912 9990 9990 9990 0113, -63, 0.1227184630308513, 920.4, 4, 2022/12/19 19:31:46
2200 4444 B4D0 6014 04E6 3739, -62.5, 1.9696313316451632, 920.4, 4, 2022/12/19 19:31:46
5538 0000 4180 0400 0034 0007, -65.5, 2.988194574801229, 920.4, 4, 2022/12/19 19:31:46
2200 4444 A450 6014 04E6 3731, -57.5, 0.3190680038802134, 920.4, 4, 2022/12/19 19:31:46
2200 4444 A450 6014 04E6 3731, -62, 3.215223731408304, 920.4, 6, 2022/12/19 19:31:46
5598 0000 4004 0004 000C 0001, -57, 5.123495831538041, 920.4, 4, 2022/12/19 19:31:46
2200 43CB 43A1 E48A 543D 29B9, -67.5, 1.0615147052168636, 920.4, 1, 2022/12/19 19:31:45
2020 0000 4000 0000 0000 0012, -67, 0.4970097752749477, 920.4, 1, 2022/12/19 19:31:45
2200 43CB 43A1 D68A 543D 2981, -64.5, 0.05522330836388308, 920.4, 1, 2022/12/19 19:31:45
2200 43CB 43A1 CD8A 543D 295D, -61.5, 2.3746022596469727, 920.4, 1, 2022/12/19 19:31:45
2020 43CB 43A1 E88A 543D 29C9, -61.5, 4.97623367590102, 920.4, 1, 2022/12/19 19:31:45
2020 43CB 43A1 E88A 543D 29C9, -60, 3.0802334220743677, 920.4, 4, 2022/12/19 19:31:46
9990 1912 9990 9990 9990 0131, -59.5, 4.921010367537137, 920.4, 1, 2022/12/19 19:31:45
9990 1912 9990 9990 9990 0131, -59.5, 0.4663301595172349, 920.4, 6, 2022/12/19 19:31:46
