Tag ID,RSSI,Phase,Frequency,Antenna No.,Created At
5538 0000 4180 0400 0034 0007, -65, 1.761009944492716, 920.4, 4, 2022/12/19 18:19:29
7B49, -67, 5.773903685601553, 920.4, 4, 2022/12/19 18:19:29
2200 43CB 43A1 DF8A 543D 29A5, -65.5, 0.9142525495798421, 920.4, 1, 2022/12/19 18:19:28
2200 43CB 43A1 DF8A 543D 29A5, -60, 4.1172044346850605, 920.4, 4, 2022/12/19 18:19:29
5538 0000 4180 0400 0034 000B, -71.5, 0.05522330836388308, 920.4, 1, 2022/12/19 18:19:28
5538 0000 4180 0400 0034 000B, -67, 3.785864584501762, 920.4, 4, 2022/12/19 18:19:29
E200 4710 6990 6026 B9C9 0110, -61.5, 0.30066023442558565, 920.4, 1, 2022/12/19 18:19:28
2200 43CB 43A1 CD8A 543D 295D, -55.5, 2.0923497946760143, 920.4, 1, 2022/12/19 18:19:28
2200 43CB 43A1 CD8A 543D 295D, -66, 0.9940195505498954, 920.4, 4, 2022/12/19 18:19:29
E200 470F 45D0 6023 A129 010E, -56.5, 4.503767593232243, 920.4, 1, 2022/12/19 18:19:28
E200 470F 45D0 6023 A129 010E, -58.5, 4.552854978444583, 920.4, 4, 2022/12/19 18:19:29
E200 470F 45D0 6023 A129 010E, -60, 4.264466590322082, 920.4, 6, 2022/12/19 18:19:29
5598 0000 4004 0004 000C 0001, -54, 5.283029833478148, 920.4, 1, 2022/12/19 18:19:28
2020 43CB 43A1 E88A 543D 29C9, -61, 4.417864669110647, 920.4, 1, 2022/12/19 18:19:28
2020 43CB 43A1 E88A 543D 29C9, -61.5, 1.8346410223112268, 920.4, 4, 2022/12/19 18:19:29
2020 43CB 43A1 E78A 543D 29C5, -56.5, 2.282563412373834, 920.4, 1, 2022/12/19 18:19:28
2020 43CB 43A1 E78A 543D 29C5, -65, 0.02454369260617026, 920.4, 4, 2022/12/19 18:19:29
2020 43CB 43A1 E78A 543D 29C5, -62, 1.7855536370988863, 920.4, 6, 2022/12/19 18:19:29
2020 43CB 43A2 198A 543D 2A8D, -51.5, 4.841243366567084, 920.4, 1, 2022/12/19 18:19:28
2020 43CB 43A2 198A 543D 2A8D, -58, 6.2463697682703305, 920.4, 4, 2022/12/19 18:19:29
9990 1912 9990 9990 9990 0125, -59.5, 1.3008157081270237, 920.4, 6, 2022/12/19 18:19:31
2020 43CB 43A1 E88A 543D 29C9, -63, 1.8100973297050567, 920.4, 4, 2022/12/19 18:19:31
